"Start Time","Track","Series","Hosted Session Name"
"2020.11.21 9:14 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 2"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","402368","402368","Jesper A Olsson","0","96","0","Running","-00.000","0","1:29.140","1:31.663","1:29.140","19","19","15","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","91787","91787","Philip Johansson","0","2","0","Running","-00.279","0","1:29.420","1:32.122","1:29.420","11","13","2","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","0","100","0","Running","-00.382","0","1:29.523","1:31.810","1:29.523","43","60","21","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293413","293413","Wilhelm Öhman","0","10","0","Running","-00.472","0","1:29.613","1:31.333","1:29.613","65","83","25","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","0","82","0","Running","-00.645","0","1:29.786","1:32.117","1:29.786","5","22","11","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159684","159684","Kristofer Moreau","0","27","0","Running","-00.670","0","1:29.811","1:35.346","1:29.811","20","40","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","403502","403502","Viktor M Andersson","0","15","0","Running","-00.701","0","1:29.842","1:32.601","1:29.842","25","30","22","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360282","360282","Emil Winbo","0","44","0","Running","-00.871","0","1:30.011","1:33.421","1:30.011","30","62","118","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","347523","347523","Hugo Olsson","0","14","0","Running","-00.891","0","1:30.032","1:35.500","1:30.032","32","80","69","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","444099","444099","Nils Andersson","0","26","0","Running","-01.235","0","1:30.376","1:33.458","1:30.376","16","62","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","330071","330071","Max Karlberg","0","16","0","Running","-01.301","0","1:30.442","1:34.967","1:30.442","48","110","81","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","140126","140126","Sebastian Witkarsson","0","7","0","Running","-01.316","0","1:30.457","1:36.304","1:30.457","59","97","48","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","358022","358022","Jesper Olsson","0","55","0","Running","-01.408","0","1:30.548","1:34.478","1:30.548","115","131","62","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360021","360021","edvin Hellsten","0","19","0","Running","-01.460","0","1:30.600","1:34.874","1:30.600","67","83","94","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","0","28","0","Running","-01.491","0","1:30.632","1:34.591","1:30.632","25","38","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","539693","539693","Gustav Jonsson","0","1","0","Running","-01.523","0","1:30.664","1:36.958","1:30.664","41","104","80","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400348","400348","Andreas Andersson7","0","22","0","Running","-01.551","0","1:30.691","1:36.731","1:30.691","46","82","67","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293407","293407","Pontus Nilsson","0","6","0","Running","-02.267","0","1:31.408","1:37.580","1:31.408","89","102","104","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","376849","376849","Joel Degerman","0","11","0","Running","-02.299","0","1:31.440","1:38.572","1:31.440","16","29","22","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","37038","37038","Jonas Gertsson","0","29","0","Running","-02.965","0","1:32.105","1:35.814","1:32.105","60","60","88","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571918","571918","Robert Larsson2","0","71","0","Running","-02.982","0","1:32.123","1:35.274","1:32.123","32","58","77","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","80693","80693","Mattias Norling","0","008","0","Running","-03.005","0","1:32.146","1:35.405","1:32.146","48","57","25","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571876","571876","Phillip Larsen","0","24","0","Running","-03.021","0","1:32.162","1:39.587","1:32.162","25","29","54","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","483618","483618","Andre Berggren","0","21","0","Running","-03.954","0","1:33.095","1:36.068","1:33.095","9","17","21","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571849","571849","Gustav Vestlund","0","4","0","Running","-06.092","0","1:35.233","1:39.133","1:35.233","28","29","43","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571879","571879","Per Ekskog","0","3","0","Running","-10.756","0","1:39.896","1:46.791","1:39.896","14","15","7","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","512574","512574","Mattias Adielsson","0","20","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","424218","424218","Kenneth Sundfors","0","8","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
