"Start Time","Track","Series","Hosted Session Name"
"2020.11.19 11:00 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","402368","402368","Jesper A Olsson","0","96","0","Running","-00.000","0","1:29.282","1:33.565","1:29.282","124","124","68","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","129837","129837","Tobias F. Olsson","0","33","0","Running","-00.161","0","1:29.444","1:33.240","1:29.444","125","199","117","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229541","229541","Carl E Jansson","0","51","0","Running","-00.251","0","1:29.533","1:32.072","1:29.533","21","21","17","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","91787","91787","Philip Johansson","0","3","0","Running","-00.272","0","1:29.555","1:33.778","1:29.555","16","34","10","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","2","0","Running","-00.381","0","1:29.663","1:33.490","1:29.663","45","69","45","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","432847","432847","Adam J Isaksson","0","78","0","Running","-00.443","0","1:29.726","1:31.888","1:29.726","46","73","22","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","11","0","Running","-00.454","0","1:29.736","1:36.948","1:29.736","26","30","28","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","378070","378070","Rickard Karlsson","0","199","0","Running","-00.507","0","1:29.790","1:35.367","1:29.790","47","59","15","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","230647","230647","Michael Haflidason","0","81","0","Running","-00.712","0","1:29.994","1:38.932","1:29.994","34","101","61","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","210826","210826","Magnus Asp","0","26","0","Running","-00.749","0","1:30.032","1:32.754","1:30.032","36","45","9","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407027","407027","Oscar Pedersen","0","22","0","Running","-00.757","0","1:30.040","1:40.324","1:30.040","44","78","63","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","209962","209962","Linus Areng","0","44","0","Running","-00.795","0","1:30.077","1:32.694","1:30.077","66","66","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","373371","373371","Charlie Andersen","0","30","0","Running","-00.800","0","1:30.083","1:33.598","1:30.083","148","161","108","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","0","48","0","Running","-00.838","0","1:30.121","1:34.260","1:30.121","78","95","67","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138213","138213","Victor Dravegard","0","23","0","Running","-00.845","0","1:30.128","1:33.255","1:30.128","88","95","33","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","48364","48364","Jesper Lindh","0","29","0","Running","-00.879","0","1:30.161","1:32.914","1:30.161","42","72","46","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","403502","403502","Viktor M Andersson","0","18","0","Running","-00.912","0","1:30.195","1:32.786","1:30.195","41","58","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","303121","303121","Andreas Bäckman","0","19","0","Running","-00.936","0","1:30.218","1:32.582","1:30.218","108","134","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","295184","295184","Pontus Öfverström","0","31","0","Running","-01.135","0","1:30.417","1:35.568","1:30.417","19","53","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","19294","19294","Niklas Hjelm","0","72","0","Running","-01.212","0","1:30.494","1:33.759","1:30.494","58","69","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","355756","355756","Jocke Sjöö","0","34","0","Running","-01.289","0","1:30.571","1:34.224","1:30.571","98","114","38","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","420734","420734","Henrik Johansson3","0","35","0","Running","-01.291","0","1:30.574","1:34.666","1:30.574","113","137","91","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","247988","247988","Gabriel Roos","0","323","0","Running","-01.311","0","1:30.594","1:35.411","1:30.594","7","58","52","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","173329","173329","Fredrik Beckman","0","888","0","Running","-01.408","0","1:30.691","1:34.712","1:30.691","84","100","56","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","40","0","Running","-01.456","0","1:30.738","1:33.200","1:30.738","14","41","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
