"Start Time","Track","Series","Hosted Session Name"
"2020.11.22 11:00 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293413","293413","Wilhelm Öhman","0","12","0","Running","-00.000","0","1:29.511","1:31.370","1:29.511","91","94","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","0","17","0","Running","-00.114","0","1:29.625","1:31.509","1:29.625","90","107","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159684","159684","Kristofer Moreau","0","7","0","Running","-00.121","0","1:29.632","1:34.124","1:29.632","61","117","54","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","30","0","Running","-00.213","0","1:29.724","1:35.160","1:29.724","39","48","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","321786","321786","Victor Rgz Magnusson","0","14","0","Running","-00.284","0","1:29.795","1:33.275","1:29.795","227","267","134","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","173329","173329","Fredrik Beckman","0","888","0","Running","-00.374","0","1:29.885","1:33.433","1:29.885","54","54","17","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-00.405","0","1:29.917","1:34.487","1:29.917","109","142","110","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","210826","210826","Magnus Asp","0","8","0","Running","-00.434","0","1:29.945","1:31.691","1:29.945","46","192","66","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","303121","303121","Andreas Bäckman","0","25","0","Running","-00.441","0","1:29.953","1:32.322","1:29.953","45","49","15","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","209962","209962","Linus Areng","0","44","0","Running","-00.448","0","1:29.959","1:33.026","1:29.959","85","100","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360021","360021","edvin Hellsten","0","27","0","Running","-00.458","0","1:29.970","1:32.457","1:29.970","51","105","82","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","379958","379958","Jesper Sandström","0","22","0","Running","-00.655","0","1:30.166","1:33.245","1:30.166","75","86","77","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","344054","344054","Jacob Gustafsson","0","9","0","Running","-00.745","0","1:30.257","1:33.574","1:30.257","211","239","197","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","2","0","Running","-00.782","0","1:30.293","1:34.864","1:30.293","119","166","127","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","253552","253552","Jesper Eriksson2","0","19","0","Running","-00.785","0","1:30.296","1:34.548","1:30.296","137","138","138","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293407","293407","Pontus Nilsson","0","10","0","Running","-00.929","0","1:30.441","1:36.926","1:30.441","64","166","144","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","357171","357171","André Fossto","0","18","0","Running","-01.149","0","1:30.661","1:33.502","1:30.661","31","77","63","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","24","0","Running","-01.201","0","1:30.712","1:33.125","1:30.712","105","124","52","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449598","449598","Jonas Lindholm","0","32","0","Running","-01.293","0","1:30.805","1:37.353","1:30.805","82","95","76","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","375830","375830","Magnus Johansson","0","28","0","Running","-01.353","0","1:30.864","1:33.186","1:30.864","42","46","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349751","349751","Robert Johansson4","0","31","0","Running","-01.370","0","1:30.882","1:34.800","1:30.882","35","84","56","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","572004","572004","Tommie Bergström","0","13","0","Running","-01.631","0","1:31.142","1:35.221","1:31.142","25","161","182","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","59635","59635","Mikael Gustafsson","0","99","0","Running","-01.636","0","1:31.147","1:34.111","1:31.147","7","48","33","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","56303","56303","Marcus Hagman","0","15","0","Running","-01.795","0","1:31.306","1:34.183","1:31.306","17","22","11","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","468013","468013","Mikael Hronek","0","26","0","Running","-02.609","0","1:32.121","1:35.749","1:32.121","17","39","21","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","516168","516168","David Johansson2","0","23","0","Running","-02.813","0","1:32.324","1:36.171","1:32.324","4","60","36","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","483618","483618","Andre Berggren","0","21","0","Running","-02.894","0","1:32.406","1:36.776","1:32.406","22","35","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571956","571956","Jonas Lagesson2","0","34","0","Running","-02.938","0","1:32.449","1:43.103","1:32.449","21","36","50","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571876","571876","Phillip Larsen","0","4","0","Running","-03.463","0","1:32.974","1:39.380","1:32.974","18","55","97","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"30","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571849","571849","Gustav Vestlund","0","3","0","Running","-04.890","0","1:34.402","1:38.840","1:34.402","32","37","34","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"31","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","254555","254555","Håkan Richardson","0","16","0","Running","-05.264","0","1:34.776","1:40.193","1:34.776","19","20","32","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"32","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","564266","564266","Felix Norén","0","20","0","Running","-05.428","0","1:34.940","1:39.775","1:34.940","5","18","11","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"33","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571950","571950","Morgan Olsson","0","57","0","Running","-08.176","0","1:37.688","1:45.074","1:37.688","28","58","72","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"34","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","547286","547286","Eric Öhman","0","35","0","Running","-19.241","0","1:48.752","1:49.261","1:48.752","8","9","17","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"35","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","415200","415200","Christopher HÃ¶gfeldt","0","36","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
