"Start Time","Track","Series","Hosted Session Name"
"2020.11.20 11:00 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","373371","373371","Charlie Andersen","0","9","0","Running","-00.000","0","1:29.990","1:32.423","1:29.990","49","72","37","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","355756","355756","Jocke Sjöö","0","34","0","Running","-00.298","0","1:30.288","1:36.461","1:30.288","36","48","20","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","321786","321786","Victor Rgz Magnusson","0","18","0","Running","-00.331","0","1:30.322","1:33.890","1:30.322","26","197","144","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","347523","347523","Hugo Olsson","0","20","0","Running","-00.395","0","1:30.385","1:35.370","1:30.385","47","48","28","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","319555","319555","Niklas Hedberg","0","2","0","Running","-00.412","0","1:30.402","1:33.905","1:30.402","27","47","39","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","379958","379958","Jesper Sandström","0","1","0","Running","-00.509","0","1:30.499","1:34.663","1:30.499","121","169","180","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","420734","420734","Henrik Johansson3","0","8","0","Running","-00.515","0","1:30.506","1:34.623","1:30.506","93","197","136","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","475256","475256","Jonathan Elm","0","7","0","Running","-00.992","0","1:30.983","1:37.361","1:30.983","10","118","129","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","449598","449598","Jonas Lindholm","0","22","0","Running","-01.230","0","1:31.221","1:36.356","1:31.221","34","46","53","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-01.250","0","1:31.241","1:35.639","1:31.241","71","83","78","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","561817","561817","Johan Skogsby","0","25","0","Running","-01.852","0","1:31.843","1:39.406","1:31.843","26","60","81","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","59635","59635","Mikael Gustafsson","0","99","0","Running","-02.064","0","1:32.054","1:35.508","1:32.054","4","8","8","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571918","571918","Robert Larsson2","0","71","0","Running","-02.270","0","1:32.260","1:35.661","1:32.260","55","61","50","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571876","571876","Phillip Larsen","0","5","0","Running","-02.456","0","1:32.447","1:42.700","1:32.447","123","130","209","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","257218","257218","Robin Johansson","0","27","0","Running","-02.469","0","1:32.460","1:37.127","1:32.460","7","7","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","213471","213471","Johan Lindberg","0","17","0","Running","-02.545","0","1:32.535","1:39.859","1:32.535","3","9","13","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","483618","483618","Andre Berggren","0","29","0","Running","-03.389","0","1:33.379","1:41.634","1:33.379","15","18","18","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","340985","340985","Fredrik Kalle Karlsson","0","6","0","Running","-03.446","0","1:33.437","1:44.362","1:33.437","11","29","41","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571910","571910","Albin Kihlgren","0","19","0","Running","-03.527","0","1:33.517","1:38.513","1:33.517","49","64","91","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571956","571956","Jonas Lagesson2","0","24","0","Running","-03.757","0","1:33.747","1:41.418","1:33.747","4","15","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","570533","570533","Magnus Jomander","0","21","0","Running","-04.746","0","1:34.736","1:40.039","1:34.736","59","59","50","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571843","571843","Philip Karlsson2","0","14","0","Running","-05.342","0","1:35.333","1:35.333","1:35.333","11","13","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","401479","401479","Alexander Wiberg","0","16","0","Running","-05.851","0","1:35.841","1:44.527","1:35.841","16","36","63","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407170","407170","Peter Lundgren","0","77","0","Running","-08.003","0","1:37.993","1:38.602","1:37.993","11","18","26","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","572147","572147","Thom Axelsson","0","12","0","Running","-12.980","0","1:42.970","1:52.665","1:42.970","26","30","86","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571879","571879","Per Ekskog","0","26","0","Running","-15.571","0","1:45.562","1:51.703","1:45.562","16","17","20","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","199831","199831","Svenska Bilsportförbundet","0","15","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571886","571886","William Larsen","0","3","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","415748","415748","Adrian Lahovary","0","28","0","Running","-00.000","0","","1:50.384","","","6","17","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
