"Start Time","Track","Series","Hosted Session Name"
"2020.11.21 9:15 PM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 2"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400348","400348","Andreas Andersson7","0","2","0","Running","-00.000","0","1:30.781","1:41.216","1:30.781","25","39","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","37038","37038","Jonas Gertsson","0","3","0","Running","-01.011","0","1:31.793","1:36.041","1:31.793","39","42","37","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","415748","415748","Adrian Lahovary","0","1","0","Running","-12.039","0","1:42.820","1:42.957","1:42.820","7","7","9","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571950","571950","Morgan Olsson","0","57","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
