"Start Time","Track","Series","Hosted Session Name"
"2020.11.19 11:00 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 2"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","143617","143617","Henrik Lindoff","0","8","0","Running","-00.000","0","1:29.352","1:31.508","1:29.352","68","76","26","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","165678","165678","Robin Noborg","0","7","0","Running","-00.195","0","1:29.547","1:32.375","1:29.547","134","136","39","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","428717","428717","Alfred Nilsson","0","26","0","Running","-00.343","0","1:29.695","1:32.249","1:29.695","57","94","59","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159684","159684","Kristofer Moreau","0","27","0","Running","-00.351","0","1:29.703","1:33.738","1:29.703","126","129","48","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","0","100","0","Running","-00.457","0","1:29.809","1:32.571","1:29.809","80","96","39","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","19682","19682","Mattias Stahre","0","88","0","Running","-00.566","0","1:29.919","1:32.992","1:29.919","22","59","37","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","1","0","Running","-00.703","0","1:30.055","1:32.650","1:30.055","72","98","68","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","444099","444099","Nils Andersson","0","16","0","Running","-00.791","0","1:30.143","1:33.563","1:30.143","131","137","94","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","253552","253552","Jesper Eriksson2","0","28","0","Running","-01.056","0","1:30.408","1:32.855","1:30.408","30","44","19","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400348","400348","Andreas Andersson7","0","10","0","Running","-01.213","0","1:30.565","1:37.704","1:30.565","152","163","81","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","370307","370307","Linus Trane","0","20","0","Running","-01.254","0","1:30.606","1:32.757","1:30.606","43","53","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412090","412090","Isac Blomqvist","0","31","0","Running","-01.349","0","1:30.701","1:33.024","1:30.701","16","16","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","330071","330071","Max Karlberg","0","12","0","Running","-01.468","0","1:30.820","1:36.447","1:30.820","47","71","64","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","382563","382563","Elias Adestam","0","29","0","Running","-01.483","0","1:30.835","1:31.814","1:30.835","7","24","12","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360056","360056","Massimo Salvini","0","74","0","Running","-01.547","0","1:30.899","1:37.228","1:30.899","63","63","30","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","358022","358022","Jesper Olsson","0","55","0","Running","-01.616","0","1:30.968","1:35.329","1:30.968","84","96","72","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","319555","319555","Niklas Hedberg","0","2","0","Running","-01.795","0","1:31.147","1:33.559","1:31.147","14","25","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","475256","475256","Jonathan Elm","0","6","0","Running","-01.826","0","1:31.178","1:34.949","1:31.178","66","68","39","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","570840","570840","Marcus Annervi5","0","61","0","Running","-01.832","0","1:31.184","1:37.846","1:31.184","52","209","249","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","191387","191387","Tomas Kling","0","15","0","Running","-01.857","0","1:31.209","1:33.467","1:31.209","79","101","20","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","52848","52848","Rickard Allardh","0","302","0","Running","-01.874","0","1:31.226","1:34.915","1:31.226","15","28","21","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","350589","350589","Magnus Ahlberg","0","3","0","Running","-01.921","0","1:31.273","1:36.110","1:31.273","4","4","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","386157","386157","Tommy Hellström","0","66","0","Running","-02.257","0","1:31.609","1:36.773","1:31.609","45","45","32","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","401820","401820","Oskar Jakobsson2","0","25","0","Running","-02.806","0","1:32.158","1:38.731","1:32.158","36","37","48","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","429741","429741","Joakim Vikström","0","24","0","Running","-03.094","0","1:32.447","1:36.336","1:32.447","21","25","19","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
