"Start Time","Track","Series","Hosted Session Name"
"2020.11.21 9:14 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","0","15","0","Running","-00.000","0","1:29.630","1:31.939","1:29.630","64","70","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","3","0","Running","-00.100","0","1:29.730","1:33.229","1:29.730","60","96","37","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","303121","303121","Andreas Bäckman","0","19","0","Running","-00.265","0","1:29.895","1:32.606","1:29.895","23","42","9","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","173329","173329","Fredrik Beckman","0","888","0","Running","-00.395","0","1:30.025","1:33.125","1:30.025","109","149","61","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360282","360282","Emil Winbo","0","44","0","Running","-00.512","0","1:30.142","1:34.229","1:30.142","29","70","114","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","319555","319555","Niklas Hedberg","0","5","0","Running","-00.563","0","1:30.193","1:33.506","1:30.193","31","41","26","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","54788","54788","Emil Andersson2","0","24","0","Running","-00.642","0","1:30.272","1:33.498","1:30.272","48","64","49","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","370307","370307","Linus Trane","0","29","0","Running","-00.765","0","1:30.395","1:32.934","1:30.395","18","55","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","344054","344054","Jacob Gustafsson","0","20","0","Running","-00.818","0","1:30.448","1:34.005","1:30.448","70","93","72","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-00.830","0","1:30.460","1:35.678","1:30.460","175","187","156","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","30","0","Running","-01.053","0","1:30.683","1:32.048","1:30.683","6","15","3","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360056","360056","Massimo Salvini","0","74","0","Running","-01.087","0","1:30.717","1:34.613","1:30.717","26","115","71","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","12","0","Running","-01.215","0","1:30.845","1:36.109","1:30.845","21","50","53","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","350589","350589","Magnus Ahlberg","0","9","0","Running","-01.247","0","1:30.877","1:33.093","1:30.877","5","15","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","59635","59635","Mikael Gustafsson","0","99","0","Running","-01.350","0","1:30.981","1:35.746","1:30.981","47","51","48","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","96326","96326","Leopold Stenerås","0","23","0","Running","-02.550","0","1:32.180","1:35.355","1:32.180","6","20","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571876","571876","Phillip Larsen","0","21","0","Running","-02.579","0","1:32.210","1:45.327","1:32.210","18","39","48","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456358","456358","Max Weinzierl","0","8","0","Running","-02.653","0","1:32.283","1:37.682","1:32.283","12","12","5","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
