"Start Time","Track","Series","Hosted Session Name"
"2020.11.22 11:00 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 2"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin Östlund","0","29","0","Running","-00.000","0","1:29.264","1:30.813","1:29.264","4","17","5","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","374365","374365","Philip Fransson","0","18","0","Running","-00.142","0","1:29.407","1:31.919","1:29.407","5","9","4","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","0","28","0","Running","-00.376","0","1:29.641","1:34.480","1:29.641","15","31","13","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","378070","378070","Rickard Karlsson","0","199","0","Running","-00.463","0","1:29.728","1:31.583","1:29.728","41","73","22","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","114966","114966","Marco Mogren","0","35","0","Running","-00.532","0","1:29.797","1:32.127","1:29.797","54","54","40","36","UK and I","100","0","SM Virtuell Racing Powered by Porsche 2"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","140126","140126","Sebastian Witkarsson","0","7","0","Running","-00.567","0","1:29.831","1:36.013","1:29.831","81","128","58","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","347523","347523","Hugo Olsson","0","10","0","Running","-00.584","0","1:29.849","1:33.529","1:29.849","65","96","67","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","138213","138213","Victor Dravegard","0","23","0","Running","-00.653","0","1:29.918","1:32.686","1:29.918","51","58","25","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","20","0","Running","-00.684","0","1:29.948","1:35.362","1:29.948","12","62","26","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","261289","261289","Hampus Baaz","0","31","0","Running","-00.801","0","1:30.066","1:32.278","1:30.066","30","37","19","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","295184","295184","Pontus Öfverström","0","21","0","Running","-00.805","0","1:30.070","1:33.226","1:30.070","116","129","90","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","370307","370307","Linus Trane","0","9","0","Running","-00.831","0","1:30.095","1:32.086","1:30.095","63","95","53","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400348","400348","Andreas Andersson7","0","16","0","Running","-00.876","0","1:30.140","1:37.159","1:30.140","153","198","104","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342760","342760","Martin Svensson4","0","32","0","Running","-01.068","0","1:30.333","1:35.336","1:30.333","69","69","48","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","46329","46329","Daniel Engström","0","58","0","Running","-01.071","0","1:30.335","1:34.046","1:30.335","131","147","159","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","0","27","0","Running","-01.132","0","1:30.397","1:35.805","1:30.397","68","71","51","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","358022","358022","Jesper Olsson","0","55","0","Running","-01.231","0","1:30.496","1:33.525","1:30.496","30","119","59","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","50423","50423","Fredrik Tackman","0","14","0","Running","-01.250","0","1:30.515","1:33.655","1:30.515","20","39","7","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360056","360056","Massimo Salvini","0","74","0","Running","-01.401","0","1:30.665","1:34.514","1:30.665","45","55","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","330071","330071","Max Karlberg","0","22","0","Running","-01.527","0","1:30.791","1:33.668","1:30.791","16","84","70","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412090","412090","Isac Blomqvist","0","36","0","Running","-01.570","0","1:30.834","1:32.229","1:30.834","9","12","12","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","80693","80693","Mattias Norling","0","008","0","Running","-01.749","0","1:31.014","1:33.422","1:31.014","56","68","27","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","37038","37038","Jonas Gertsson","0","4","0","Running","-01.769","0","1:31.033","1:35.329","1:31.033","183","189","216","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","191387","191387","Tomas Kling","0","5","0","Running","-01.846","0","1:31.110","1:32.928","1:31.110","30","35","4","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
