"Start Time","Track","Series","Hosted Session Name"
"2020.11.21 9:14 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","374365","374365","Philip Fransson","0","18","0","Running","-00.000","0","1:29.119","1:32.828","1:29.119","61","137","110","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","129837","129837","Tobias F. Olsson","0","9","0","Running","-00.265","0","1:29.385","1:33.081","1:29.385","9","205","141","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115698","115698","Alex Jönsson","0","96","0","Running","-00.407","0","1:29.527","1:31.894","1:29.527","119","122","34","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","19682","19682","Mattias Stahre","0","88","0","Running","-00.422","0","1:29.541","1:34.354","1:29.541","46","95","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","230647","230647","Michael Haflidason","0","81","0","Running","-00.429","0","1:29.549","1:36.797","1:29.549","17","18","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","432847","432847","Adam J Isaksson","0","78","0","Running","-00.515","0","1:29.634","1:31.276","1:29.634","102","137","43","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","2","0","Running","-00.525","0","1:29.645","1:33.232","1:29.645","39","125","125","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","24469","24469","Erik Blixt","0","89","0","Running","-00.637","0","1:29.757","1:30.932","1:29.757","30","56","15","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","34051","34051","Emil Sällberg","0","15","0","Running","-00.695","0","1:29.814","1:33.419","1:29.814","148","167","117","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","290742","290742","Magnus Vallström","0","22","0","Running","-00.749","0","1:29.868","1:32.891","1:29.868","21","33","14","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","24","0","Running","-00.789","0","1:29.908","1:32.728","1:29.908","52","64","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","382563","382563","Elias Adestam","0","1","0","Running","-00.868","0","1:29.987","1:32.693","1:29.987","108","161","107","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","420734","420734","Henrik Johansson3","0","16","0","Running","-01.008","0","1:30.127","1:33.685","1:30.127","92","102","55","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","384646","384646","Joel Granfors","0","50","0","Running","-01.231","0","1:30.351","1:34.737","1:30.351","36","37","34","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","213471","213471","Johan Lindberg","0","10","0","Running","-01.352","0","1:30.472","1:34.193","1:30.472","17","65","46","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","355756","355756","Jocke Sjöö","0","34","0","Running","-01.463","0","1:30.583","1:33.154","1:30.583","6","7","1","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","445082","445082","Niklas Johansson2","0","21","0","Running","-01.508","0","1:30.628","1:33.335","1:30.628","45","76","62","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
