"Start Time","Track","Series","Hosted Session Name"
"2020.11.21 9:15 PM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","19682","19682","Mattias Stahre","0","88","0","Running","-00.000","0","1:29.533","1:30.816","1:29.533","14","15","1","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342760","342760","Martin Svensson4","0","32","0","Running","-03.222","0","1:32.755","1:35.331","1:32.755","2","5","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","572004","572004","Tommie Bergström","0","1","0","Running","-03.333","0","1:32.867","1:35.260","1:32.867","30","37","26","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571950","571950","Morgan Olsson","0","57","0","Running","-00.000","0","","00.000","","","1","2","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
