"Start Time","Track","Series","Hosted Session Name"
"2020.11.28 11:00 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","24469","24469","Erik Blixt","0","89","0","Running","-00.000","0","1:42.830","1:48.587","1:42.830","106","132","126","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","432847","432847","Adam J Isaksson","0","78","0","Running","-00.148","0","1:42.978","1:43.395","1:42.978","90","109","103","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","129837","129837","Tobias F. Olsson","0","18","0","Running","-00.298","0","1:43.129","1:47.295","1:43.129","63","110","165","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","384646","384646","Joel Granfors","0","50","0","Running","-00.357","0","1:43.188","1:49.162","1:43.188","46","81","112","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115698","115698","Alex Jönsson","0","96","0","Running","-00.626","0","1:43.457","1:45.853","1:43.457","30","76","147","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293413","293413","Wilhelm Öhman","0","64","0","Running","-00.661","0","1:43.492","1:44.025","1:43.492","77","77","124","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","290742","290742","Magnus Vallström","0","9","0","Running","-00.716","0","1:43.547","1:48.474","1:43.547","31","58","42","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229541","229541","Carl E Jansson","0","29","0","Running","-00.746","0","1:43.577","1:43.577","1:43.577","5","19","30","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","91787","91787","Philip Johansson","0","11","0","Running","-00.770","0","1:43.601","1:47.708","1:43.601","20","22","21","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","332953","332953","Philip Andersson","0","28","0","Running","-00.773","0","1:43.604","1:49.319","1:43.604","77","87","67","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","378070","378070","Rickard Karlsson","0","199","0","Running","-00.807","0","1:43.638","1:50.533","1:43.638","22","74","65","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","0","19","0","Running","-00.968","0","1:43.798","1:47.719","1:43.798","35","49","28","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","444099","444099","Nils Andersson","0","12","0","Running","-01.091","0","1:43.922","1:51.174","1:43.922","44","85","108","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","261289","261289","Hampus Baaz","0","26","0","Running","-01.235","0","1:44.066","1:48.265","1:44.066","58","58","58","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","541822","541822","Linus Granfors","0","4","0","Running","-01.375","0","1:44.206","1:49.079","1:44.206","54","121","178","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
