"Start Time","Track","Series","Hosted Session Name"
"2020.11.29 11:00 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229541","229541","Carl E Jansson","0","29","0","Running","-00.000","0","1:42.932","1:43.315","1:42.932","4","4","6","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","384646","384646","Joel Granfors","0","50","0","Running","-00.455","0","1:43.388","1:43.606","1:43.388","5","9","25","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","11","0","Running","-00.471","0","1:43.404","1:46.436","1:43.404","24","73","247","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","541822","541822","Linus Granfors","0","4","0","Running","-01.009","0","1:43.941","1:48.700","1:43.941","15","25","40","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","528556","528556","Enzo Hallman","0","2","0","Running","-01.178","0","1:44.111","1:47.185","1:44.111","109","111","311","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","417800","417800","Johan Ingemarsson","0","13","0","Running","-01.198","0","1:44.131","1:50.636","1:44.131","43","50","53","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","517792","517792","Johan Stolt","0","20","0","Running","-01.429","0","1:44.361","1:52.854","1:44.361","70","70","75","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","91787","91787","Philip Johansson","0","1","0","Running","-01.494","0","1:44.427","1:44.427","1:44.427","3","3","5","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","217268","217268","Tobias Hising","0","6","0","Running","-01.531","0","1:44.464","1:45.210","1:44.464","26","31","32","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407027","407027","Oscar Pedersen","0","7","0","Running","-01.689","0","1:44.621","1:45.342","1:44.621","17","55","198","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","417801","417801","Jimmy Kujanpää","0","15","0","Running","-01.863","0","1:44.796","1:53.689","1:44.796","31","45","49","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
