"Start Time","Track","Series","Hosted Session Name"
"2020.11.28 11:00 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","173329","173329","Fredrik Beckman","0","888","0","Running","-00.000","0","1:43.757","1:45.014","1:43.757","47","47","60","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","0","14","0","Running","-00.055","0","1:43.812","1:44.658","1:43.812","9","39","22","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","319555","319555","Niklas Hedberg","0","8","0","Running","-00.452","0","1:44.210","1:47.715","1:44.210","39","45","56","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360021","360021","edvin Hellsten","0","27","0","Running","-00.866","0","1:44.624","1:46.450","1:44.624","55","56","138","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","1","0","Running","-00.899","0","1:44.657","1:47.924","1:44.657","52","77","132","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","59635","59635","Mikael Gustafsson","0","99","0","Running","-01.604","0","1:45.362","1:47.042","1:45.362","16","17","36","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360056","360056","Massimo Salvini","0","74","0","Running","-01.954","0","1:45.712","1:52.215","1:45.712","34","49","33","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","191387","191387","Tomas Kling","0","7","0","Running","-02.194","0","1:45.952","1:46.740","1:45.952","5","14","10","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571879","571879","Per Ekskog","0","4","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
