"Start Time","Track","Series","Hosted Session Name"
"2020.11.29 11:00 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","129837","129837","Tobias F. Olsson","0","10","0","Running","-00.000","0","1:43.009","1:44.607","1:43.009","75","96","204","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115698","115698","Alex Jönsson","0","96","0","Running","-00.286","0","1:43.295","1:52.630","1:43.295","20","72","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","0","100","0","Running","-00.330","0","1:43.339","1:47.010","1:43.339","34","34","30","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","34051","34051","Emil Sällberg","0","12","0","Running","-00.463","0","1:43.472","1:51.039","1:43.472","42","69","115","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","8","0","Running","-00.761","0","1:43.770","1:44.162","1:43.770","35","50","70","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","210826","210826","Magnus Asp","0","6","0","Running","-00.843","0","1:43.852","1:44.725","1:43.852","13","102","101","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159684","159684","Kristofer Moreau","0","27","0","Running","-00.849","0","1:43.858","1:44.602","1:43.858","26","51","42","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","357171","357171","André Fossto","0","11","0","Running","-01.007","0","1:44.016","1:50.186","1:44.016","87","143","172","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","7","0","Running","-01.309","0","1:44.318","1:51.284","1:44.318","102","123","141","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","411944","411944","Richard Lindström","0","18","0","Running","-01.524","0","1:44.533","1:50.634","1:44.533","27","29","27","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342760","342760","Martin Svensson4","0","32","0","Running","-01.674","0","1:44.683","1:48.126","1:44.683","47","73","114","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349751","349751","Robert Johansson4","0","13","0","Running","-01.837","0","1:44.846","1:52.496","1:44.846","46","72","58","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","539693","539693","Gustav Jonsson","0","3","0","Running","-01.877","0","1:44.886","1:46.108","1:44.886","7","28","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-01.996","0","1:45.005","1:45.848","1:45.005","8","8","3","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","54788","54788","Emil Andersson2","0","15","0","Running","-01.996","0","1:45.005","1:55.756","1:45.005","43","43","58","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","59635","59635","Mikael Gustafsson","0","99","0","Running","-02.656","0","1:45.665","1:49.332","1:45.665","55","55","67","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360056","360056","Massimo Salvini","0","74","0","Running","-02.673","0","1:45.682","1:53.607","1:45.682","27","40","23","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","543445","543445","Robin Hafstrom","0","61","0","Running","-03.985","0","1:46.994","1:58.367","1:46.994","28","31","34","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571879","571879","Per Ekskog","0","2","0","Running","-00.000","0","","00.000","","","1","5","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
