"Start Time","Track","Series","Hosted Session Name"
"2020.11.26 11:23 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","384646","384646","Joel Granfors","0","50","0","Running","-00.000","0","1:42.982","1:52.054","1:42.982","184","184","274","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","24469","24469","Erik Blixt","0","89","0","Running","-00.020","0","1:43.002","1:43.590","1:43.002","44","45","55","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","143617","143617","Henrik Lindoff","0","8","0","Running","-00.071","0","1:43.053","1:44.030","1:43.053","38","44","37","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","9","0","Running","-00.276","0","1:43.258","1:44.925","1:43.258","48","73","188","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","165678","165678","Robin Noborg","0","10","0","Running","-00.336","0","1:43.319","1:48.895","1:43.319","27","83","63","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407027","407027","Oscar Pedersen","0","2","0","Running","-00.488","0","1:43.471","1:49.299","1:43.471","80","130","416","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","382563","382563","Elias Adestam","0","1","0","Running","-00.639","0","1:43.621","1:44.412","1:43.621","61","105","197","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","140126","140126","Sebastian Witkarsson","0","20","0","Running","-00.804","0","1:43.787","1:49.628","1:43.787","81","82","117","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","19294","19294","Niklas Hjelm","0","777","0","Running","-00.816","0","1:43.798","1:53.603","1:43.798","49","51","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","6","0","Running","-00.884","0","1:43.867","1:46.006","1:43.867","18","33","44","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
