"Start Time","Track","Series","Hosted Session Name"
"2020.11.26 11:24 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 2"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin Östlund","0","5","0","Running","-00.000","0","1:42.699","1:44.849","1:42.699","32","32","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","0","82","0","Running","-00.858","0","1:43.557","1:44.260","1:43.557","15","15","19","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293413","293413","Wilhelm Öhman","0","64","0","Running","-01.249","0","1:43.948","1:44.935","1:43.948","16","58","76","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159684","159684","Kristofer Moreau","0","27","0","Running","-01.436","0","1:44.135","1:48.783","1:44.135","23","39","30","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","15","0","Running","-01.670","0","1:44.369","1:44.765","1:44.369","31","45","66","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","344054","344054","Jacob Gustafsson","0","8","0","Running","-01.794","0","1:44.493","1:52.487","1:44.493","75","86","125","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","0","14","0","Running","-01.797","0","1:44.496","1:45.132","1:44.496","14","21","20","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","303121","303121","Andreas Bäckman","0","19","0","Running","-02.077","0","1:44.776","1:51.260","1:44.776","73","73","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","357171","357171","André Fossto","0","1","0","Running","-02.178","0","1:44.877","1:46.013","1:44.877","41","41","142","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400348","400348","Andreas Andersson7","0","7","0","Running","-02.337","0","1:45.036","1:50.540","1:45.036","36","60","144","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","330071","330071","Max Karlberg","0","11","0","Running","-02.440","0","1:45.139","1:56.513","1:45.139","41","43","87","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","0","20","0","Running","-02.578","0","1:45.277","1:48.631","1:45.277","19","19","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","429741","429741","Joakim Vikström","0","16","0","Running","-03.357","0","1:46.056","1:57.204","1:46.056","51","76","114","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","358022","358022","Jesper Olsson","0","55","0","Running","-03.485","0","1:46.184","1:47.361","1:46.184","11","23","69","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","2","0","Running","-03.643","0","1:46.342","1:47.165","1:46.342","34","39","137","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","474729","474729","Niclas Vikström","0","71","0","Running","-04.685","0","1:47.384","1:51.195","1:47.384","75","76","128","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","429625","429625","Marcus Forsell Stahre","0","13","0","Running","-07.137","0","1:49.836","1:54.698","1:49.836","9","9","8","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","506525","506525","Anders Alavik","0","9","0","Running","-11.076","0","1:53.775","1:59.015","1:53.775","4","5","12","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571950","571950","Morgan Olsson","0","57","0","Running","-15.533","0","1:58.232","1:58.232","1:58.232","2","4","13","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
