"Start Time","Track","Series","Hosted Session Name"
"2020.11.28 11:00 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 2"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","402368","402368","Jesper A Olsson","0","96","0","Running","-00.000","0","1:42.862","1:43.472","1:42.862","11","11","20","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","374365","374365","Philip Fransson","0","18","0","Running","-00.005","0","1:42.867","1:44.268","1:42.867","10","37","55","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","1","0","Running","-00.356","0","1:43.218","1:46.765","1:43.218","18","21","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","19682","19682","Mattias Stahre","0","88","0","Running","-00.572","0","1:43.434","1:49.841","1:43.434","54","83","69","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","140126","140126","Sebastian Witkarsson","0","5","0","Running","-00.658","0","1:43.520","1:46.162","1:43.520","80","81","125","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","59177","59177","Andreas Olsson","0","15","0","Running","-00.891","0","1:43.753","1:44.319","1:43.753","39","48","71","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","9","0","Running","-00.953","0","1:43.815","1:50.089","1:43.815","27","42","39","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","8","0","Running","-01.094","0","1:43.956","1:45.176","1:43.956","37","61","97","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400348","400348","Andreas Andersson7","0","7","0","Running","-01.947","0","1:44.809","1:52.241","1:44.809","70","151","334","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","24","0","Running","-03.032","0","1:45.894","1:52.864","1:45.894","8","20","23","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","474729","474729","Niclas Vikström","0","71","0","Running","-03.356","0","1:46.218","1:49.643","1:46.218","32","79","111","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","429625","429625","Marcus Forsell Stahre","0","12","0","Running","-06.125","0","1:48.987","1:48.987","1:48.987","7","7","10","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin Östlund","0","16","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","382563","382563","Elias Adestam","0","3","0","Running","-00.000","0","","00.000","","","0","12","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","348603","348603","Andreas Thornadtsson","0","86","0","Running","-00.000","0","","2:13.210","","","6","11","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
