"Start Time","Track","Series","Hosted Session Name"
"2020.11.27 11:00 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin Östlund","0","5","0","Running","-00.000","0","1:42.860","1:45.108","1:42.860","15","15","4","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","8","0","Running","-01.165","0","1:44.025","1:47.783","1:44.025","16","24","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","303121","303121","Andreas Bäckman","0","19","0","Running","-01.465","0","1:44.325","1:45.390","1:44.325","10","52","96","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-01.892","0","1:44.752","1:48.154","1:44.752","54","77","85","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","173329","173329","Fredrik Beckman","0","888","0","Running","-01.923","0","1:44.783","1:45.985","1:44.783","58","62","88","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","46329","46329","Daniel Engström","0","58","0","Running","-02.835","0","1:45.696","1:48.702","1:45.696","41","50","95","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360056","360056","Massimo Salvini","0","74","0","Running","-03.108","0","1:45.968","1:48.915","1:45.968","16","29","40","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","191387","191387","Tomas Kling","0","7","0","Running","-03.467","0","1:46.327","1:46.820","1:46.327","9","18","17","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","386157","386157","Tommy Hellström","0","66","0","Running","-03.809","0","1:46.669","1:46.669","1:46.669","3","3","13","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","543445","543445","Robin Hafstrom","0","61","0","Running","-04.329","0","1:47.189","1:47.694","1:47.189","4","10","19","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","331739","331739","Christopher Haverland","0","9","0","Running","-09.245","0","1:52.106","1:53.412","1:52.106","4","4","5","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571918","571918","Robert Larsson2","0","34","0","Running","-00.000","0","","00.000","","","0","2","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
