"Start Time","Track","Series","Hosted Session Name"
"2020.11.27 11:00 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","402368","402368","Jesper A Olsson","0","96","0","Running","-00.000","0","1:42.991","1:44.241","1:42.991","61","99","186","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","11","0","Running","-00.008","0","1:42.999","1:47.518","1:42.999","103","103","196","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","24469","24469","Erik Blixt","0","89","0","Running","-00.051","0","1:43.042","1:44.078","1:43.042","42","74","83","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","384646","384646","Joel Granfors","0","50","0","Running","-00.240","0","1:43.231","1:56.251","1:43.231","71","107","214","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","129837","129837","Tobias F. Olsson","0","3","0","Running","-00.256","0","1:43.248","1:43.759","1:43.248","60","83","216","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407027","407027","Oscar Pedersen","0","6","0","Running","-00.299","0","1:43.291","1:47.704","1:43.291","88","116","261","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","165678","165678","Robin Noborg","0","18","0","Running","-00.321","0","1:43.313","1:49.830","1:43.313","36","40","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115698","115698","Alex Jönsson","0","28","0","Running","-00.438","0","1:43.430","1:51.354","1:43.430","88","98","100","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","292923","292923","Stellan Lindeberg","0","24","0","Running","-00.666","0","1:43.658","1:50.744","1:43.658","61","73","46","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","382563","382563","Elias Adestam","0","1","0","Running","-00.803","0","1:43.794","1:44.642","1:43.794","20","61","168","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","321786","321786","Victor Rgz Magnusson","0","19","0","Running","-00.848","0","1:43.839","1:50.770","1:43.839","33","101","84","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","290742","290742","Magnus Vallström","0","20","0","Running","-00.889","0","1:43.881","1:51.949","1:43.881","54","54","58","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","444099","444099","Nils Andersson","0","17","0","Running","-00.913","0","1:43.905","1:46.047","1:43.905","20","34","73","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","378070","378070","Rickard Karlsson","0","199","0","Running","-01.002","0","1:43.993","1:49.669","1:43.993","46","64","46","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","403502","403502","Viktor M Andersson","0","13","0","Running","-01.167","0","1:44.159","1:50.129","1:44.159","41","43","66","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
