"Start Time","Track","Series","Hosted Session Name"
"2020.12.05 11:00 AM GMT","Silverstone Circuit - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229541","229541","Carl E Jansson","0","29","0","Running","-00.000","0","2:02.045","2:02.792","2:02.045","32","32","27","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","402368","402368","Jesper A Olsson","0","96","0","Running","-00.546","0","2:02.592","2:03.067","2:02.592","9","41","45","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","8","0","Running","-00.628","0","2:02.673","2:03.064","2:02.673","17","30","73","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","432847","432847","Adam J Isaksson","0","78","0","Running","-00.754","0","2:02.799","2:03.324","2:02.799","50","58","28","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","143617","143617","Henrik Lindoff","0","13","0","Running","-00.972","0","2:03.017","2:03.989","2:03.017","14","40","37","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","417800","417800","Johan Ingemarsson","0","24","0","Running","-01.139","0","2:03.185","2:04.774","2:03.185","60","60","60","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","378070","378070","Rickard Karlsson","0","199","0","Running","-01.272","0","2:03.318","2:04.124","2:03.318","28","33","41","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","4","0","Running","-01.396","0","2:03.442","2:03.914","2:03.442","10","26","24","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","357171","357171","André Fossto","0","15","0","Running","-01.696","0","2:03.742","2:06.108","2:03.742","31","57","106","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","140126","140126","Sebastian Witkarsson","0","3","0","Running","-01.708","0","2:03.753","2:03.753","2:03.753","10","12","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360021","360021","edvin Hellsten","0","27","0","Running","-01.755","0","2:03.801","2:07.886","2:03.801","13","13","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","7","0","Running","-01.786","0","2:03.832","2:08.540","2:03.832","43","45","59","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","444099","444099","Nils Andersson","0","26","0","Running","-01.855","0","2:03.900","2:05.854","2:03.900","26","30","57","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","372720","372720","Markus Kujanpää","0","61","0","Running","-01.907","0","2:03.953","2:05.549","2:03.953","46","82","99","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-01.922","0","2:03.968","2:06.381","2:03.968","14","63","98","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","319555","319555","Niklas Hedberg","0","16","0","Running","-01.975","0","2:04.020","2:06.219","2:04.020","9","17","14","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","217268","217268","Tobias Hising","0","31","0","Running","-01.985","0","2:04.030","2:05.756","2:04.030","19","23","26","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","517792","517792","Johan Stolt","0","5","0","Running","-02.274","0","2:04.319","2:05.604","2:04.319","13","13","23","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
