"Start Time","Track","Series","Hosted Session Name"
"2020.12.05 11:00 AM GMT","Silverstone Circuit - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 2"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","209962","209962","Linus Areng","0","44","0","Running","-00.000","0","2:03.614","2:04.182","2:03.614","9","18","5","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","332953","332953","Philip Andersson","0","3","0","Running","-00.087","0","2:03.702","2:04.463","2:03.702","15","27","21","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","342760","342760","Martin Svensson4","0","32","0","Running","-00.335","0","2:03.950","2:04.428","2:03.950","17","17","34","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","474729","474729","Niclas Vikström","0","71","0","Running","-04.792","0","2:08.406","2:09.494","2:08.406","7","15","43","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 2"
