"Start Time","Track","Series","Hosted Session Name"
"2020.12.03 11:00 AM GMT","Silverstone Circuit - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","303121","303121","Andreas Bäckman","0","19","0","Running","-00.000","0","2:03.890","2:05.219","2:03.890","15","15","4","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","3","0","Running","-00.056","0","2:03.947","2:04.481","2:03.947","26","28","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","1","0","Running","-01.992","0","2:05.883","2:24.647","2:05.883","10","11","23","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","539693","539693","Gustav Jonsson","0","2","0","Running","-02.311","0","2:06.202","2:07.250","2:06.202","9","11","25","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571950","571950","Morgan Olsson","0","57","0","Running","-12.712","0","2:16.603","2:17.559","2:16.603","6","16","57","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","428717","428717","Alfred Nilsson","0","6","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
