"Start Time","Track","Series","Hosted Session Name"
"2020.12.04 11:00 AM GMT","Silverstone Circuit - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229541","229541","Carl E Jansson","0","29","0","Running","-00.000","0","2:02.301","2:02.583","2:02.301","27","27","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin Östlund","0","223","0","Running","-00.113","0","2:02.414","2:04.803","2:02.414","29","29","25","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","290742","290742","Magnus Vallström","0","1","0","Running","-00.593","0","2:02.894","2:04.090","2:02.894","7","26","17","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","432847","432847","Adam J Isaksson","0","78","0","Running","-00.609","0","2:02.910","2:03.498","2:02.910","73","73","63","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","402368","402368","Jesper A Olsson","0","96","0","Running","-00.637","0","2:02.938","2:03.743","2:02.938","51","51","56","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","11","0","Running","-00.702","0","2:03.003","2:03.729","2:03.003","38","42","103","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","165678","165678","Robin Noborg","0","9","0","Running","-00.786","0","2:03.087","2:04.407","2:03.087","37","40","42","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","286284","286284","Joakim Vennström","0","907","0","Running","-00.813","0","2:03.114","2:04.294","2:03.114","36","61","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","230647","230647","Michael Haflidason","0","81","0","Running","-00.882","0","2:03.184","2:05.466","2:03.184","18","30","56","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115216","115216","Karl-Johan Hagelin","0","14","0","Running","-01.007","0","2:03.308","2:04.787","2:03.308","12","19","5","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","59177","59177","Andreas Olsson","0","15","0","Running","-01.036","0","2:03.337","2:04.731","2:03.337","20","29","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","0","32","0","Running","-01.097","0","2:03.398","2:04.585","2:03.398","14","22","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407027","407027","Oscar Pedersen","0","25","0","Running","-01.287","0","2:03.588","2:07.237","2:03.588","17","29","47","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","321786","321786","Victor Rgz Magnusson","0","4","0","Running","-01.292","0","2:03.593","2:04.393","2:03.593","37","40","55","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","417800","417800","Johan Ingemarsson","0","16","0","Running","-01.399","0","2:03.700","2:05.577","2:03.700","18","81","89","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","319555","319555","Niklas Hedberg","0","2","0","Running","-01.479","0","2:03.780","2:04.483","2:03.780","10","37","58","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","140126","140126","Sebastian Witkarsson","0","31","0","Running","-01.531","0","2:03.832","2:03.832","2:03.832","13","15","44","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","372720","372720","Markus Kujanpää","0","61","0","Running","-01.970","0","2:04.271","2:04.801","2:04.271","19","30","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","5","0","Running","-02.122","0","2:04.424","2:07.310","2:04.424","2","2","3","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400791","400791","Oscar Fredriksson","0","28","0","Running","-02.425","0","2:04.726","2:06.373","2:04.726","25","42","87","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","8","0","Running","-02.425","0","2:04.727","2:07.112","2:04.727","13","22","42","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","382563","382563","Elias Adestam","0","37","0","Running","-02.441","0","2:04.742","2:05.600","2:04.742","9","9","25","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","360021","360021","edvin Hellsten","0","27","0","Running","-02.631","0","2:04.932","2:07.548","2:04.932","11","13","20","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
