"Start Time","Track","Series","Hosted Session Name"
"2020.12.04 11:00 AM GMT","Silverstone Circuit - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","0","82","0","Running","-00.000","0","2:03.535","2:04.473","2:03.535","12","13","12","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","24469","24469","Erik Blixt","0","89","0","Running","-00.247","0","2:03.782","2:04.159","2:03.782","9","9","7","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293413","293413","Wilhelm Öhman","0","64","0","Running","-00.473","0","2:04.008","2:05.636","2:04.008","35","40","38","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","209962","209962","Linus Areng","0","44","0","Running","-01.291","0","2:04.826","2:04.826","2:04.826","2","2","2","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571950","571950","Morgan Olsson","0","57","0","Running","-09.140","0","2:12.675","2:12.675","2:12.675","2","8","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","550065","550065","Daniel Sköldengen","0","3","0","Running","-12.730","0","2:16.265","2:16.265","2:16.265","12","16","80","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
